순위,위치,학교명,위도,경도
1,서대문구 현저동,한성과학고등학교,37.57543617,126.9523709
2,광진구 중곡동,대원외국어고등학교,37.56249279,127.0894374
3,서초구 반포동,세화고등학교,37.50199646,126.9942300139
4,은평구 진관동,하나고등학교,37.64163759,126.9369303
5,강서구 내발산동,명덕외국어고등학교,37.55394399,126.8342915
6,성북구 정릉동,대일외국어고등학교,37.61330459,127.014176
7,구로구 궁동,세종과학고등학교,37.4975694,126.8273517
8,중구 순화동,이화여자외국어고등학교,37.56557732,126.9696417
9,송파구 오금동,보인고등학교,37.4975692,127.1395178
10,양천구 목동,한가람고등학교,37.53746204,126.8840075
11,성동구 사근동,한양대학교사범대학부속고등학교,37.56191884,127.042324
12,종로구 명륜1가,서울국제고등학교,37.59179115,126.9954907
13,강동구 상일동,한영외국어고등학교,37.54914056,127.1577731
14,중구 정동,이화여자고등학교,37.56617664,126.9713244
15,도봉구 창동,서울외국어고등학교,37.64578079,127.0515087
16,서초구 반포동,세화여자고등학교,37.50199646,126.9942300139
17,도봉구 쌍문동,선덕고등학교,37.65634868,127.0268766
18,관악구 신림동,미림여자고등학교,37.4661018,126.9319279
19,강남구 도곡동,숙명여자고등학교,37.49147536,127.0526126
20,양천구 목동,양정고등학교,37.53539226,126.8877343
21,노원구 중계동,대진여자고등학교,37.646174,127.0671966
22,은평구 갈현동,대성고등학교,37.623161,126.9097907
23,양천구 신정동,목동고등학교,37.50921598,126.860143
24,서초구 방배4동,서문여자고등학교,37.48891973,126.9845458
25,강남구 압구정동,현대고등학교,37.5254805,127.0223773
26,서대문구 대신동,이화여자대학교사범대학부속이화금란고등학교,37.56638886,126.947303
27,강북구 미아동,신일고등학교,37.62796722,127.0284031
28,마포구 대흥동,숭문고등학교,37.550873,126.9457689
29,강남구 대치동,휘문고등학교,37.50528945,127.0619939
30,종로구 계동,중앙고등학교,37.58378822,126.9874726
31,강남구 일원동,중동고등학교,37.49371459,127.0809122
32,노원구 중계동,영신여자고등학교,37.65245208,127.083289
33,영등포구 신길동,장훈고등학교,37.51334559,126.9162286
34,송파구 방이동,창덕여자고등학교,37.51624351,127.1402736
35,양천구 목동,강서고등학교,37.53631557,126.8657711
36,노원구 상계동,용화여자고등학교,37.65913138,127.0582807
37,강남구 도곡동,은광여자고등학교,37.48837857,127.0352324
38,강서구 내발산동,명덕고등학교,37.553907,126.8342915
39,강남구 역삼동,진선여자고등학교,37.50230289,127.0482866
40,강남구 개포동,경기여자고등학교,37.48691516,127.065453
41,종로구 필운동,배화여자고등학교,37.57954401,126.9672919
42,동대문구 회기동,경희여자고등학교,37.59394914,127.054891
43,강서구 내발산동,덕원여자고등학교,37.54862258,126.8290245
44,강서구 내발산동,명덕여자고등학교,37.55394399,126.8342915
45,양천구 목동,진명여자고등학교,37.52404701,126.8658566
46,동작구 동작동,경문고등학교,37.49341886,126.9822734
47,강남구 대치1동,단국대학교사범대학부속고등학교,37.49561749,127.0577682
48,강남구 일원동,중산고등학교,37.48574293,127.0814285
49,송파구 송파동,잠실여자고등학교,37.50179413,127.1142413
50,동작구 대방동,숭의여자고등학교,37.50736414,126.9292433
51,성북구 돈암동,성신여자고등학교,37.59428963,127.0224072
52,동대문구 신설동,대광고등학교,37.57795467,127.0253235
53,은평구 구산동,예일여자고등학교,37.6109459,126.9147928
54,관악구 봉천동,서울문영여자고등학교,37.47290457,126.9509181
55,강동구 상일동,상일여자고등학교,37.54858748,127.1708235
56,용산구 원효로4가,성심여자고등학교,37.53420937,126.9545934
57,구로구 궁동,오류고등학교,37.50035507,126.827683
58,은평구 갈현동,선일여자고등학교,37.62030421,126.9119931
59,종로구 혜화동,동성고등학교,37.58496996,127.003062
60,영등포구 여의도동,여의도여자고등학교,37.52288764,126.9350871
61,금천구 시흥동,동일여자고등학교,37.45193626,126.9158199
62,노원구 하계동,대진고등학교,37.63780685,127.0760900225
63,노원구 중계동,서라벌고등학교,37.64525653,127.0758406
64,도봉구 쌍문동,정의여자고등학교,37.65335584,127.0324273
65,동대문구 장안동,동국대학교사범대학부속고등학교,37.57804718,127.075133
66,송파구 잠실동,정신여자고등학교,37.50945384,127.0738473
67,강남구 청담동,영동고등학교,37.52138901,127.0437393
68,동대문구 전농동,해성여자고등학교,37.5818726,127.0569769
69,송파구 방이동,보성고등학교,37.52008989,127.1357293
70,용산구 서계동,배문고등학교,37.549998,126.9639041
71,서초구 반포동,반포고등학교,37.50270273,127.0165107
72,중랑구 망우동,혜원여자고등학교,37.59327987,127.0970427
73,강서구 등촌동,마포고등학교,37.55998867,126.8531334
74,강서구 방화동,한서고등학교,37.5747927,126.8081439
75,구로구 구로동,구현고등학교,37.502203,126.874446
76,양천구 신정동,양천고등학교,37.5083206,126.8452028
77,동대문구 휘경동,휘경여자고등학교,37.58190052,127.0674341
78,동대문구 회기동,경희고등학교,37.59394914,127.054891
79,송파구 잠실동,영동일고등학교,37.510034,127.089867
