순위,위치,학교명,위도,경도
1,광진구 중곡동,대원국제중학교,37.56249279,127.089418
2,강북구 미아동,영훈국제중학교,37.61468187,127.0280933
3,강남구 수서동,대왕중학교,37.48346033,127.0873381
4,광진구 광장동,광남중학교,37.54083041,127.101621
5,강남구 압구정1동,압구정중학교,37.53024224,127.0330027
6,송파구 방이동,오륜중학교,37.51632395,127.1389238
7,강남구 대치동,대청중학교,37.49043056,127.0583501
8,양천구 목동,목운중학교,37.52700952,126.8730442
9,양천구 목동,월촌중학교,37.53706518,126.8827588
10,서초구 서초동,서운중학교,37.49394851,127.0245382
11,강남구 대치동,대명중학교,37.50633641,127.0609849
12,양천구 목동,신목중학교,37.53702399,126.8730725
13,강남구 압구정동,신사중학교,37.52469784,127.0211914
14,송파구 신천동,잠실중학교,37.51781757,127.0986662
15,강남구 대치동,단국대학교사범대학부속중학교,37.49561749,127.0577682
16,강남구 역삼동,역삼중학교,37.49593388,127.048844
17,종로구 홍지동,상명대학교사범대학부속여자중학교,37.60410891,126.9551595
18,강남구 도곡동,도곡중학교,37.49230771,127.0452179
19,강남구 개포동,구룡중학교,37.48615258,127.056121
20,양천구 신정7동,봉영여자중학교,37.50921598,126.8601984
21,서초구 반포동,원촌중학교,37.5063251,127.0146997
22,서초구 반포동,세화여자중학교,37.501983,126.9942300139
23,서초구 서초동,서일중학교,37.49852986,127.0232207
24,동작구 대방동,숭의여자중학교,37.50736414,126.9292433
25,강남구 역삼동,진선여자중학교,37.502323,127.0482866
26,광진구 광장동,양진중학교,37.54457517,127.098348
27,양천구 신정동,목일중학교,37.51354095,126.8740325
28,송파구 잠실2동,잠신중학교,37.51613937,127.087802
29,도봉구 창동,노곡중학교,37.64880251,127.0537437
30,서초구 반포동,신반포중학교,37.50626532,126.996115
31,강남구 삼성동,언주중학교,37.51465316,127.0466832
32,송파구 잠실동,신천중학교,37.51625001,127.0792834
33,서초구 잠원동,경원중학교,37.5115816,127.0090183
34,강서구 내발산동,명덕여자중학교,37.55394399,126.8342915
35,강남구 도곡동,숙명여자중학교,37.49147536,127.0526126
36,노원구 중계1동,을지중학교,37.64978791,127.0717084
37,서초구 방배동,서문여자중학교,37.48891973,126.984562
38,서초구 잠원동,신동중학교,37.5169159,127.0129154
39,서초구 반포동,반포중학교,,
40,도봉구 쌍문동,선덕중학교,37.65634868,127.0268766
41,용산구 이촌동,용강중학교,37.52157693,126.9754853
42,마포구 염리동,서울여자중학교,37.5477805,126.94907
43,강남구 삼성동,봉은중학교,37.51897667,127.0623894
44,양천구 목동,양정중학교,37.535384,126.8877343
45,서초구 서초동,서초중학교,37.48553868,127.0085193
46,용산구 원효로4가,성심여자중학교,37.53420937,126.9545934
47,노원구 중계동,상명중학교,37.64954781,127.0680416
48,서대문구 천연동,동명여자중학교,37.56861542,126.9622529
49,강동구 고덕동,명일중학교,37.55759545,127.1472905
50,강남구 역삼동,휘문중학교,37.50528945,127.061984
51,구로구 신도림동,신도림중학교,37.51074073,126.8848071
52,영등포구 여의도동,여의도중학교,37.5239802,126.9357531
53,서초구 반포동,방배중학교,37.49486827,126.997827
54,성북구 성북동,동구여자중학교,37.594194,127.0082153
55,노원구 하계동,불암중학교,37.64573547,127.0734572
56,성북구 돈암동,개운중학교,37.59462665,127.0248421
57,동작구 신대방동,대방중학교,37.49543678,126.9130162
58,강남구 도곡동,대치중학교,37.48457751,127.0470652
59,강서구 염창동,염창중학교,37.55426407,126.8717473
60,송파구 가락동,가원중학교,37.49099949,127.1231711
61,강남구 도곡동,은성중학교,37.48837857,127.0352324
62,영등포구 당산동5가,당산서중학교,37.53248394,126.8988251
63,성북구 돈암동,성신여자중학교,37.59462313,127.0231285
64,성북구 길음동,길음중학교,37.61409036,127.0174557
65,송파구 방이동,보성중학교,37.52008989,127.1357293
66,은평구 진관동,신도중학교,37.63298366,126.9308787
67,서초구 방배동,동덕여자중학교,37.47587863,126.991995
68,노원구 중계동,중계중학교,37.65563822,127.0752409
69,강서구 가양동,성재중학교,37.56944938,126.8452953
70,송파구 잠실7동,정신여자중학교,37.50945384,127.0738473
71,송파구 방이동,방산중학교,37.50937287,127.1218756
72,강동구 상일동,한영중학교,37.54914056,127.1577731
73,강서구 내발산동,화곡중학교,37.5484056,126.8326573
74,종로구 필운동,배화여자중학교,37.57954401,126.9672919
75,노원구 하계동,중평중학교,37.63697638,127.062393
76,양천구 신정동,목동중학교,37.5209572,126.871463
77,강남구 개포동,개원중학교,37.49163975,127.0714157
78,송파구 송파동,가락중학교,37.50248553,127.1187527
79,강서구 내발산1동,덕원중학교,37.54862258,126.8290245
80,마포구 상암동,상암중학교,37.57905692,126.8875508
81,노원구 공릉동,태랑중학교,37.62698409,127.0913718
82,강동구 암사동,강일중학교,37.5553497,127.138259
83,중랑구 묵동,원묵중학교,37.617772,127.0843728
84,서대문구 대신동,이화여자대학교사범대학부속이화·금란중학교,37.562643,126.9444886
85,마포구 중동,중암중학교,37.57243177,126.9035851
86,송파구 가락동,송파중학교,37.49592462,127.129914
87,동대문구 회기동,경희여자중학교,37.59394914,127.054891
88,동대문구 휘경동,휘경여자중학교,37.58190052,127.0674341
89,노원구 상계동,신상중학교,37.65190308,127.0639869
90,강서구 염창동,염경중학교,37.55453781,126.8705292
91,성동구 응봉동,광희중학교,37.55115453,127.0339801
92,노원구 상계동,노원중학교,37.64936114,127.059692
93,양천구 신정동,신서중학교,37.51596644,126.8550164
94,송파구 장지동,송례중학교,37.47783301,127.139741
95,강남구 청담동,청담중학교,37.52865979,127.0448101
96,노원구 상계동,상계중학교,37.65260154,127.0689222
97,서대문구 홍은동,정원여자중학교,37.58538212,126.9333431
98,서대문구 북가좌동,가재울중학교,37.57517186,126.9099537
99,동작구 동작동,동작중학교,37.49546195,126.9778016
100,노원구 상계동,상경중학교,37.66714877,127.0537053
101,송파구 잠실동,아주중학교,37.50523028,127.0765497
102,동작구 상도동,상현중학교,37.49390836,126.9603433
103,노원구 상계동,노일중학교,37.67260103,127.0535508
104,영등포구 여의도동,윤중중학교,37.518978,126.9241232
105,마포구 대흥동,숭문중학교,37.55089081,126.9457689
106,강남구 일원2동,중동중학교,37.48851679,127.0786121
107,강남구 자곡동,세곡중학교,37.47198073,127.0918862
108,종로구 청운동,청운중학교,37.58917094,126.971096
109,도봉구 방학동,창동중학교,37.66322957,127.0489975
110,은평구 진관동,진관중학교,37.64425564,126.9257277
111,강북구 미아동,삼각산중학교,37.61614897,127.0145684
112,종로구 동숭동,서울대학교사범대학부설여자중학교,37.5775997,127.0042955
113,도봉구 쌍문동,정의여자중학교,37.65335584,127.0324273
114,영등포구 문래동3가,양화중학교,37.5196596,126.8959945
115,성북구 삼선동2가,한성여자중학교,37.5830649,127.0117427
116,동작구 사당동,상도중학교,37.4909219,126.9614756
117,송파구 문정동,문정중학교,37.48848095,127.1300209
118,중구 신당동,금호여자중학교,,
119,양천구 신정동,금옥중학교,37.51096532,126.8439717
120,도봉구 창동,창일중학교,37.64898751,127.0469136
121,용산구 서빙고동,한강중학교,37.52361192,126.9927909
122,동작구 대방동,성남중학교,37.50528157,126.9266153
123,성북구 돈암동,고명중학교,37.59767468,127.0191869
124,강남구 논현동,언북중학교,37.51942855,127.0331263
125,노원구 하계동,하계중학교,37.64136991,127.0723336
126,영등포구 당산동6가,당산중학교,37.53203308,126.907614
127,마포구 신수동,신수중학교,37.545923,126.934132
128,송파구 가락동,석촌중학교,37.50145499,127.1211174
129,노원구 월계동,녹천중학교,37.63108361,127.0617375
130,마포구 염리동,동도중학교,37.54670177,126.9469053
131,강동구 천호동,성덕여자중학교,37.54996367,127.1419039
132,노원구 상계동,청원중학교,37.66525155,127.0625329
133,강서구 방화동,삼정중학교,37.5814869,126.8106015
134,도봉구 방학동,신방학중학교,37.66414043,127.028899
135,강남구 신사동,신구중학교,37.52744229,127.0316727
136,송파구 풍납동,풍성중학교,37.52543858,127.1128839
137,관악구 봉천동,구암중학교,37.492775,126.948602
138,성북구 동소문동1가,삼선중학교,37.59174763,127.0078716
